 PROJECT     UNITS         MW     FOR
 H HORS          4     421.00    7.44
 KERR            3     160.00    7.44
 THOM F          6      40.00    7.44
 NOXON  1        1     124.00    7.44
 NOXON  2        4     430.00    7.44
 CAB G           4     230.00    7.44
 ALBENI          3      50.00    7.44
 BOX C           4      80.00    7.44
 BOUND  1        4     660.00    7.44
 BOUND  2        2     420.00    7.44
 LIBBY           5     600.00    7.44
 COULEE 1       18    1929.00    7.44
 COULEE 2        3    2070.00    7.44
 COULEE 3        3    2415.00    7.44
 CH JOE 1       16    1413.00    7.44
 CH JOE 1       11    1203.00    7.44
 WELLS          10     890.00    7.44
 CHELAN          2      54.00    7.44
 R RECH 1        7     818.00    7.44
 R RECH 2        4     528.00    7.44
 ROCK I 1       10     212.00    7.44
 ROCK I 2        8     410.00    7.44
 WANAP          10     956.00    7.44
 PRIEST         10     907.00    7.44
 BRNLEE 1        1     225.00    7.44
 BRNLEE 2        4     450.00    7.44
 OXBOW           4     220.00    7.44
 HELL C          3     150.00    7.44
 DWRSHK 1        2     207.00    7.44
 DWRSHK 2        1     253.00    7.44
 MCNARY         14    1127.00    7.44
 J DAY          18    2484.00    7.44
 RND B           3     300.00    7.44
 PELTON          3     120.00    7.44
 DALLES 1       14    1260.00    7.44
 DALLES 2        8     792.00    7.44
 BONN           18    1186.00    7.44
  PER  MAINT(LOW) MAINT(HIGH)  NOTE: MEASURED IN %, SEPTEMBER IS PER = 1.
  1    .078       .111
  2    .088       .109
  3    .055       .083
  4    .028       .048
  5    .023       .027
  6    .034       .044
  7    .052       .063
  8    .037       .081
  9    .037       .081
 10    .064       .080
 11    .056       .069
 12    .062       .088
 13    .078       .108
 14    .078       .108

