 PROJECT     UNITS         MW     FOR
 H HORS          4     421.00    0.00
 KERR            3     160.00    0.00
 THOM F          6      40.00    0.00
 NOXON  1        1     124.00    0.00
 NOXON  2        4     430.00    0.00
 CAB G           4     230.00    0.00
 ALBENI          3      50.00    0.00
 BOX C           4      80.00    0.00
 BOUND  1        4     660.00    0.00
 BOUND  2        2     420.00    0.00
 LIBBY           5     600.00    0.00
 COULEE 1       18    1929.00    0.00
 COULEE 2        3    2070.00    0.00
 COULEE 3        3    2415.00    0.00
 CH JOE 1       16    1413.00    0.00
 CH JOE 1       11    1203.00    0.00
 WELLS          10     890.00    0.00
 CHELAN          2      54.00    0.00
 R RECH 1        7     818.00    0.00
 R RECH 2        4     528.00    0.00
 ROCK I 1       10     212.00    0.00
 ROCK I 2        8     410.00    0.00
 WANAP          10     956.00    0.00
 PRIEST         10     907.00    0.00
 BRNLEE 1        1     225.00    0.00
 BRNLEE 2        4     450.00    0.00
 OXBOW           4     220.00    0.00
 HELL C          3     150.00    0.00
 DWRSHK 1        2     207.00    0.00
 DWRSHK 2        1     253.00    0.00
 MCNARY         14    1127.00    0.00
 J DAY          18    2484.00    0.00
 RND B           3     300.00    0.00
 PELTON          3     120.00    0.00
 DALLES 1       14    1260.00    0.00
 DALLES 2        8     792.00    0.00
 BONN           18    1186.00    0.00
 SWFT   1        3     268.00    0.00
 SWFT   2        2      76.00    0.00
 YALE            2     133.00    0.00
 MERWIN          3     150.00    0.00
 PER  MAINT(LOW) MAINT(HIGH)  NOTE: MEASURED IN %, SEPTEMBER IS PER = 14.
  1    .000       .000
  2    .000       .000
  3    .000       .000
  4    .000       .000
  5    .000       .000
  6    .000       .000
  7    .000       .000
  8    .000       .000
  9    .000       .000
 10    .000       .000
 11    .000       .000
 12    .000       .000
 13    .000       .000
 14    .000       .000

