 hours in peak = 
   2
 PER   TM_E    EON   EOFF   TM_W    WON   WOFF   TM_I   IDON  IDOFF   IWY
   2  8501. 19925.  6496.  1348.  2143.   617.   840.  1632.   513.  1929
   2  8501. 19846.  6517.  1348.  2141.   617.   840.  1627.   515.  1929
   2  8501. 19616.  6586.  1348.  2136.   617.   840.  1615.   519.  1929
   2  8501. 19534.  6612.  1348.  2135.   617.   840.  1611.   521.  1929
   3 10136. 21093.  8578.  1854.  2398.  1121.   823.  1664.   469.  1929
   3 10136. 21011.  8603.  1854.  2395.  1120.   823.  1659.   470.  1929
   3 10136. 20689.  8702.  1854.  2383.  1116.   823.  1642.   477.  1929
   3 10136. 20606.  8720.  1854.  2380.  1115.   823.  1637.   478.  1929
   4 10400. 22147.  8257.  1279.  1806.   711.   900.  1741.   543.  1929
   4 10400. 22062.  8283.  1279.  1803.   712.   900.  1736.   545.  1929
   4 10400. 21850.  8349.  1279.  1796.   714.   900.  1725.   549.  1929
   4 10400. 21765.  8375.  1279.  1793.   715.   900.  1721.   550.  1929
   5  9875. 22267.  7544.  1018.  1544.   486.  1175.  1876.   895.  1929
   5  9875. 22175.  7570.  1018.  1543.   486.  1175.  1871.   897.  1929
   5  9875. 22203.  7562.  1018.  1543.   486.  1175.  1873.   896.  1929
   5  9875. 22111.  7589.  1018.  1542.   487.  1175.  1868.   898.  1929
   6  9405. 21600.  7329.  1148.  1598.   693.   927.  1688.   634.  1929
   6  9405. 21515.  7355.  1148.  1595.   694.   927.  1683.   636.  1929
   6  9405. 21450.  7376.  1148.  1593.   695.   927.  1680.   637.  1929
   6  9405. 21363.  7397.  1148.  1591.   696.   927.  1675.   638.  1929
   7  8446. 21061.  6132.  1123.  1719.   537.   997.  1694.   743.  1929
   7  8446. 20970.  6124.  1123.  1718.   537.   997.  1689.   745.  1929
   7  8446. 20885.  6115.  1123.  1717.   538.   997.  1685.   746.  1929
   7  8446. 20794.  6103.  1123.  1715.   538.   997.  1681.   748.  1929
   8  8570. 19375.  6299.  1097.  1636.   529.  1001.  1773.   683.  1929
   8  8570. 19297.  6293.  1097.  1634.   529.  1001.  1768.   685.  1929
   8  8570. 18777.  6178.  1097.  1626.   530.  1001.  1738.   696.  1929
   8  8570. 18697.  6166.  1097.  1625.   530.  1001.  1734.   698.  1929
   9 10772. 18991.  8667.  1083.  1626.   527.  1068.  1807.   769.  1929
   9 10772. 18914.  8668.  1083.  1625.   527.  1068.  1802.   771.  1929
   9 10772. 18397.  8797.  1083.  1617.   527.  1068.  1772.   782.  1929
   9 10772. 18322.  8815.  1083.  1615.   527.  1068.  1768.   784.  1929
  10 12183. 18995. 10288.  1607.  2480.   748.  1439.  1941.  1125.  1929
  10 12183. 18910. 10313.  1607.  2477.   748.  1439.  1934.  1127.  1929
  10 12183. 18755. 10354.  1607.  2471.   749.  1439.  1922.  1131.  1929
  10 12183. 18670. 10377.  1607.  2468.   750.  1439.  1915.  1133.  1929
  11 12833. 19890. 11699.  1952.  2870.   981.  1221.  1893.   906.  1929
  11 12833. 19805. 11713.  1952.  2867.   981.  1221.  1886.   903.  1929
  11 12833. 19694. 11705.  1952.  2863.   983.  1221.  1877.   900.  1929
  11 12833. 19607. 11694.  1952.  2860.   983.  1221.  1870.   898.  1929
  12  9162. 18810.  6945.  1492.  2373.   731.  1056.  1831.   715.  1930
  12  9162. 18731.  6964.  1492.  2371.   685.  1056.  1826.   717.  1930
  12  9162. 18445.  7032.  1492.  2364.   684.  1056.  1810.   723.  1930
  12  9162. 18366.  7053.  1492.  2363.   684.  1056.  1806.   724.  1930
  13  9279. 18513.  7728.   960.  1605.   448.   914.  1721.   563.  1930
  13  9279. 18438.  7748.   960.  1603.   448.   914.  1717.   565.  1930
  13  9279. 18115.  7832.   960.  1597.   448.   914.  1697.   572.  1930
  13  9279. 18043.  7851.   960.  1596.   448.   914.  1693.   573.  1930
  14  8732. 18391.  7154.   809.  1387.   375.   923.  1725.   575.  1930
  14  8732. 18324.  7164.   809.  1385.   375.   923.  1721.   577.  1930
  14  8732. 18049.  7207.   809.  1379.   374.   923.  1701.   584.  1930
  14  8732. 17987.  7217.   809.  1377.   374.   923.  1697.   585.  1930
   1  7779. 20164.  5644.  1031.  1723.   460.   877.  1716.   504.  1930
   1  7779. 20080.  5634.  1031.  1722.   460.   877.  1712.   506.  1930
   1  7779. 19672.  5729.  1031.  1715.   460.   877.  1690.   514.  1930
   1  7779. 19590.  5753.  1031.  1713.   460.   877.  1686.   515.  1930
   2  8236. 19722.  6397.   836.  1362.   402.   683.  1486.   373.  1930
   2  8236. 19641.  6422.   836.  1360.   402.   683.  1481.   374.  1930
   2  8236. 19419.  6490.   836.  1357.   402.   683.  1469.   379.  1930
   2  8236. 19339.  6515.   836.  1355.   402.   683.  1465.   380.  1930
   3 10145. 20805.  8761.  1172.  1666.   656.   740.  1552.   426.  1930
   3 10145. 20724.  8787.  1172.  1663.   657.   740.  1547.   428.  1930
   3 10145. 20402.  8892.  1172.  1652.   660.   740.  1530.   434.  1930
   3 10145. 20318.  8908.  1172.  1649.   661.   740.  1525.   436.  1930
   4 10361. 22388.  8096.  1286.  1901.   666.   734.  1570.   413.  1930
   4 10361. 22298.  8126.  1286.  1898.   667.   734.  1565.   415.  1930
   4 10361. 22074.  8202.  1286.  1891.   669.   734.  1554.   419.  1930
   4 10361. 21985.  8229.  1286.  1888.   670.   734.  1549.   420.  1930
   5  8966. 21749.  6471.  1908.  2635.  1040.   951.  1703.   666.  1930
   5  8966. 21662.  6498.  1908.  2632.  1041.   951.  1698.   668.  1930
   5  8966. 21688.  6490.  1908.  2633.  1041.   951.  1700.   667.  1930
   5  8966. 21602.  6516.  1908.  2630.  1042.   951.  1695.   669.  1930
   6  9004. 21595.  6593.  1616.  2079.   974.  1185.  1814.   901.  1930
   6  9004. 21499.  6589.  1616.  2078.   972.  1185.  1807.   901.  1930
   6  9004. 21427.  6586.  1616.  2077.   971.  1185.  1802.   900.  1930
   6  9004. 21332.  6582.  1616.  2077.   969.  1185.  1795.   899.  1930
   7  8600. 21032.  6048.  1177.  1791.   571.   863.  1590.   606.  1930
   7  8600. 20942.  6040.  1177.  1789.   572.   863.  1586.   608.  1930
   7  8600. 20858.  6033.  1177.  1788.   572.   863.  1581.   609.  1930
   7  8600. 20768.  6023.  1177.  1787.   572.   863.  1577.   611.  1930
   8  9323. 20075.  6980.  1237.  1775.   597.   816.  1627.   499.  1930
   8  9323. 19989.  6937.  1237.  1774.   597.   816.  1622.   501.  1930
   8  9323. 19410.  6879.  1237.  1770.   597.   816.  1592.   512.  1930
   8  9323. 19325.  6871.  1237.  1769.   597.   816.  1588.   513.  1930
   9 12300. 19562. 10962.  1207.  1737.   587.   866.  1646.   568.  1930
   9 12300. 19481. 10983.  1207.  1736.   587.   866.  1642.   570.  1930
   9 12300. 18939. 11112.  1207.  1733.   587.   866.  1611.   581.  1930
   9 12300. 18860. 11132.  1207.  1732.   587.   866.  1607.   582.  1930
  10 12421. 19591. 11021.   941.  1373.   458.  1013.  1757.   708.  1930
  10 12421. 19508. 11038.   941.  1373.   458.  1013.  1752.   709.  1930
  10 12421. 19355. 11069.   941.  1372.   458.  1013.  1744.   712.  1930
  10 12421. 19268. 11088.   941.  1371.   458.  1013.  1739.   714.  1930
  11  9415. 18507.  7574.  1389.  2223.   622.  1021.  1811.   677.  1930
  11  9415. 18427.  7598.  1389.  2220.   624.  1021.  1806.   678.  1930
  11  9415. 18323.  7630.  1389.  2216.   625.  1021.  1800.   681.  1930
  11  9415. 18244.  7653.  1389.  2213.   626.  1021.  1796.   682.  1930
  12 11434. 19717. 10436.  1079.  1739.   507.   981.  1756.   653.  1931
  12 11434. 19639. 10456.  1079.  1738.   507.   981.  1752.   655.  1931
  12 11434. 19356. 10526.  1079.  1733.   506.   981.  1736.   660.  1931
  12 11434. 19278. 10545.  1079.  1732.   506.   981.  1731.   662.  1931
  13  9903. 18536.  8803.   685.  1190.   320.   885.  1731.   505.  1931
  13  9903. 18469.  8819.   685.  1189.   320.   885.  1726.   507.  1931
  13  9903. 18169.  8887.   685.  1183.   320.   885.  1707.   514.  1931
  13  9903. 18101.  8902.   685.  1182.   319.   885.  1703.   515.  1931
  14  8631. 18175.  7181.   687.  1192.   324.   894.  1734.   517.  1931
  14  8631. 18117.  7193.   687.  1191.   324.   894.  1730.   519.  1931
  14  8631. 17875.  7246.   687.  1185.   323.   894.  1711.   526.  1931
  14  8631. 17821.  7258.   687.  1184.   323.   894.  1706.   528.  1931
   1  7532. 20025.  5414.  1200.  1800.   614.   788.  1604.   453.  1931
   1  7532. 19955.  5397.  1200.  1797.   615.   788.  1599.   455.  1931
   1  7532. 19583.  5415.  1200.  1782.   619.   788.  1578.   463.  1931
   1  7532. 19503.  5440.  1200.  1779.   619.   788.  1573.   464.  1931
   2  8242. 19859.  6312.   717.  1072.   343.   705.  1496.   403.  1931
   2  8242. 19778.  6337.   717.  1071.   343.   705.  1492.   404.  1931
   2  8242. 19548.  6405.   717.  1069.   343.   705.  1479.   409.  1931
   2  8242. 19466.  6429.   717.  1068.   343.   705.  1475.   410.  1931
   3 10488. 21181.  9099.  1163.  1733.   599.   641.  1417.   378.  1931
   3 10488. 21099.  9126.  1163.  1731.   600.   641.  1412.   379.  1931
   3 10488. 20777.  9225.  1163.  1720.   602.   641.  1395.   386.  1931
   3 10488. 20690.  9232.  1163.  1717.   603.   641.  1390.   387.  1931
   4 10627. 22130.  8640.   929.  1535.   415.   698.  1515.   399.  1931
   4 10627. 22045.  8666.   929.  1532.   416.   698.  1511.   401.  1931
   4 10627. 21833.  8731.   929.  1525.   418.   698.  1500.   405.  1931
   4 10627. 21748.  8757.   929.  1522.   418.   698.  1495.   407.  1931
   5  8346. 21637.  5798.  2083.  2759.  1190.   716.  1476.   468.  1931
   5  8346. 21555.  5783.  2083.  2757.  1190.   716.  1471.   469.  1931
   5  8346. 21580.  5787.  2083.  2758.  1190.   716.  1473.   469.  1931
   5  8346. 21497.  5774.  2083.  2755.  1189.   716.  1468.   470.  1931
