WY,Period,Energy_HOSS,HOSS_Peak,HOSS_Min
1929,1,5005,7058,3359
1930,1,5057,7260,3376
1931,1,5087,7324,3318
1932,1,5127,7258,3355
1933,1,5191,7420,3367
1934,1,5231,7733,3381
1935,1,5253,7548,3384
1936,1,5262,7772,3401
1937,1,5272,7683,3422
1938,1,5273,7425,3371
1939,1,5299,7750,3428
1940,1,5305,7712,3402
1941,1,5376,7836,3417
1942,1,5388,7903,3397
1943,1,5390,7855,3400
1944,1,5390,7933,3455
1945,1,5402,7819,3379
1946,1,5411,7824,3376
1947,1,5434,7940,3382
1948,1,5442,7736,3414
1949,1,5455,8100,3450
1950,1,5464,7983,3435
1951,1,5472,7949,3419
1952,1,5479,7905,3426
1953,1,5480,8082,3461
1954,1,5491,8070,3433
1955,1,5515,7879,3422
1956,1,5526,8002,3424
1957,1,5527,8087,3455
1958,1,5531,8192,3402
1959,1,5539,8162,3460
1960,1,5555,8187,3480
1961,1,5583,8076,3387
1962,1,5588,8088,3451
1963,1,5591,8231,3452
1964,1,5602,8265,3419
1965,1,5610,8082,3423
1966,1,5620,8169,3432
1967,1,5627,8154,3431
1968,1,5646,8051,3440
1969,1,5660,8382,3465
1970,1,5662,8243,3443
1971,1,5665,8308,3510
1972,1,5670,8264,3429
1973,1,5675,8431,3519
1974,1,5680,8205,3448
1975,1,5682,8158,3492
1976,1,5685,8330,3459
1977,1,5699,8058,3397
1978,1,5700,8359,3558
1979,1,5702,8516,3523
1980,1,5717,8318,3467
1981,1,5741,8459,3515
1982,1,5753,8443,3474
1983,1,5760,8296,3485
1984,1,5778,8432,3499
1985,1,5784,8637,3520
1986,1,5788,8420,3523
1987,1,5795,8498,3531
1988,1,5806,8531,3482
1989,1,5822,8374,3515
1990,1,5832,8818,3533
1991,1,5850,8396,3508
1992,1,5865,8588,3492
1993,1,5898,8640,3497
1994,1,5941,8614,3527
1995,1,5955,8796,3522
1996,1,6067,8917,3583
1997,1,6155,9129,3598
1998,1,6328,9556,3694
1999,1,6446,9540,3701
2000,1,6466,9518,3764
2001,1,6493,9584,3747
2002,1,6638,9741,3749
2003,1,6639,9614,3825
2004,1,6760,9946,3882
2005,1,7414,10972,3954
2006,1,7980,11773,4107
2007,1,8298,12084,4379
2008,1,9063,12731,5258
1929,2,6339,9194,3523
1930,2,6381,9385,3584
1931,2,6435,9456,3755
1932,2,6509,9602,3661
1933,2,6622,9596,3823
1934,2,6706,9807,3787
1935,2,6729,9587,3613
1936,2,6769,9883,3676
1937,2,6786,9869,3722
1938,2,6832,9693,3650
1939,2,6915,10011,3877
1940,2,6936,10022,3853
1941,2,7021,9805,3690
1942,2,7035,10160,3969
1943,2,7072,10063,3859
1944,2,7131,10171,3970
1945,2,7135,10144,3947
1946,2,7180,10135,3724
1947,2,7181,10304,3938
1948,2,7186,10021,3878
1949,2,7196,10364,3898
1950,2,7197,10262,3980
1951,2,7281,10309,3791
1952,2,7283,10238,3952
1953,2,7290,10497,4029
1954,2,7308,10366,4021
1955,2,7329,10390,3988
1956,2,7330,10302,3992
1957,2,7333,10566,4008
1958,2,7347,10466,3979
1959,2,7355,10262,3780
1960,2,7391,10350,3948
1961,2,7393,10455,3961
1962,2,7401,10457,3966
1963,2,7423,10368,3786
1964,2,7427,10451,3919
1965,2,7430,10382,3828
1966,2,7438,10453,3875
1967,2,7457,10526,4142
1968,2,7483,10525,4007
1969,2,7494,10503,4004
1970,2,7494,10525,3948
1971,2,7507,10368,3855
1972,2,7513,10402,4054
1973,2,7515,10507,4063
1974,2,7519,10749,4061
1975,2,7542,10818,4079
1976,2,7572,10632,4040
1977,2,7585,10564,3821
1978,2,7609,10654,4201
1979,2,7647,10917,4185
1980,2,7699,10665,4218
1981,2,7724,10826,4115
1982,2,7758,10773,4125
1983,2,7759,10716,4056
1984,2,7777,10646,4018
1985,2,7780,10701,3959
1986,2,7781,10808,4106
1987,2,7807,10768,4020
1988,2,7812,10946,4183
1989,2,7861,11018,4237
1990,2,7934,10947,4069
1991,2,7951,10832,4203
1992,2,8064,11214,4212
1993,2,8212,11377,4324
1994,2,8343,11528,4295
1995,2,8457,11568,4233
1996,2,8853,11990,4671
1997,2,8928,12244,4526
1998,2,8964,12154,4549
1999,2,9072,12370,4624
2000,2,9086,12359,4670
2001,2,9447,12839,4777
2002,2,9461,12861,4996
2003,2,9563,12852,4860
2004,2,9783,13285,5052
2005,2,9892,13172,4853
2006,2,10434,13448,5326
2007,2,10485,13657,5390
2008,2,10696,13988,5545
1929,3,6796,10598,3541
1930,3,6837,10622,3486
1931,3,7188,10680,3587
1932,3,7252,10646,3629
1933,3,7282,10713,3662
1934,3,7371,10651,3752
1935,3,7397,10673,3667
1936,3,7420,10684,3835
1937,3,7433,10697,3693
1938,3,7434,10674,3669
1939,3,7486,10727,3823
1940,3,7521,10779,3790
1941,3,7550,10749,3754
1942,3,7587,10705,3796
1943,3,7612,10947,4094
1944,3,7661,10827,3813
1945,3,7830,11221,3964
1946,3,7840,11009,4005
1947,3,7856,11418,4152
1948,3,7886,11099,4070
1949,3,7944,11490,4120
1950,3,7982,11380,4154
1951,3,8054,11498,4111
1952,3,8077,11605,4257
1953,3,8131,11756,4381
1954,3,8174,11609,4362
1955,3,8227,11816,4383
1956,3,8281,11817,4380
1957,3,8283,12093,4829
1958,3,8462,12077,4515
1959,3,8536,12090,4777
1960,3,8608,12099,4591
1961,3,8681,12476,4708
1962,3,8692,12262,4684
1963,3,8754,12345,4609
1964,3,8754,12219,4717
1965,3,8838,12524,4815
1966,3,8871,12915,4917
1967,3,8904,13104,4818
1968,3,8949,12842,5031
1969,3,8951,12930,4903
1970,3,8957,12984,4999
1971,3,8997,12686,4982
1972,3,9105,12835,4930
1973,3,9114,12968,5048
1974,3,9116,13249,4994
1975,3,9140,13054,4965
1976,3,9146,12950,4917
1977,3,9161,12913,4893
1978,3,9183,13361,5516
1979,3,9366,13610,5070
1980,3,9424,13155,5270
1981,3,9432,13858,5367
1982,3,9460,13553,5375
1983,3,9480,13163,5345
1984,3,9573,13691,5475
1985,3,9590,13250,5444
1986,3,9717,13864,5646
1987,3,9748,13672,5452
1988,3,9815,14356,5903
1989,3,9972,14331,5989
1990,3,10010,14209,5785
1991,3,10053,14223,6142
1992,3,10228,14056,6419
1993,3,10236,13865,6437
1994,3,10281,13826,6962
1995,3,10344,14495,6448
1996,3,10637,13456,8780
1997,3,10807,13922,9153
1998,3,10823,14120,8643
1999,3,11205,14072,9530
2000,3,11242,14616,8794
2001,3,11268,13962,9670
2002,3,11778,15041,9471
2003,3,11805,14785,9855
2004,3,11949,15097,9737
2005,3,11975,14498,10016
2006,3,13030,15126,10666
2007,3,13409,14937,12016
2008,3,14305,15397,13512
1929,4,5381,8593,3238
1930,4,6027,9807,3252
1931,4,6187,9854,3360
1932,4,6630,10293,3500
1933,4,6641,10183,3385
1934,4,6695,10419,3415
1935,4,6697,10251,3439
1936,4,6726,10342,3440
1937,4,6742,10270,3472
1938,4,6834,10285,3423
1939,4,7057,10415,3496
1940,4,7370,10728,3661
1941,4,7382,10736,3744
1942,4,7483,10667,3582
1943,4,7498,11010,3783
1944,4,7622,10735,3654
1945,4,7662,11026,3726
1946,4,7725,10824,3791
1947,4,7736,10883,3727
1948,4,8077,11527,3954
1949,4,8183,11579,3983
1950,4,8484,12099,4193
1951,4,8565,12526,4396
1952,4,8690,11923,4366
1953,4,8802,11872,4413
1954,4,8948,13019,4443
1955,4,9214,12896,4710
1956,4,9424,13450,4861
1957,4,9427,13950,5017
1958,4,9573,13609,5118
1959,4,9581,12834,4729
1960,4,9627,13884,5315
1961,4,9650,13295,5157
1962,4,9685,12779,4939
1963,4,9695,13477,5448
1964,4,9784,13916,5373
1965,4,9842,13557,5319
1966,4,9918,14041,5317
1967,4,9936,14244,5766
1968,4,10155,14140,5801
1969,4,10202,13546,5399
1970,4,10204,14301,5861
1971,4,10339,14567,6158
1972,4,10370,14294,5983
1973,4,10420,13682,5993
1974,4,10483,13455,7386
1975,4,10570,13867,5891
1976,4,10832,14050,8204
1977,4,10947,13529,7829
1978,4,10968,14031,7176
1979,4,11023,13859,8899
1980,4,11091,13999,6738
1981,4,11134,14555,8844
1982,4,11321,15213,7981
1983,4,11535,14686,6949
1984,4,11659,14131,9007
1985,4,11787,14388,9042
1986,4,11869,14579,9883
1987,4,11881,13967,9768
1988,4,12058,14954,10090
1989,4,12141,14768,9126
1990,4,12207,14306,10232
1991,4,12257,14386,10047
1992,4,12318,14506,10459
