WY,Period,Energy_RODS,RODS_Peak,RODS_Min
1994,1,5858,10013,2612
1995,1,5473,8935,2661
1996,1,7172,10630,3973
1997,1,7599,11452,4197
1998,1,9159,13425,5668
1999,1,5892,9321,3233
2000,1,7200,10873,4000
2001,1,6204,9556,3754
2002,1,5805,9097,3467
2003,1,7178,12343,4124
2004,1,6933,11601,3662
2005,1,6245,10328,3157
2006,1,6178,10130,2540
2007,1,5518,11179,2386
2008,1,5221,9326,2355
2009,1,5303,9186,2676
2010,1,5064,8620,3069
2011,1,5603,8517,3268
2012,1,6547,10165,3852
2013,1,5362,9578,3455
2014,1,5957,8613,3749
1994,2,6836,13424,3636
1995,2,6361,10627,3284
1996,2,9008,14324,5604
1997,2,7929,12034,4129
1998,2,8403,13105,4547
1999,2,6515,10175,3440
2000,2,8473,12981,4882
2001,2,7316,11298,4380
2002,2,7105,12138,4158
2003,2,8323,12328,4905
2004,2,8018,12394,4750
2005,2,7359,11750,4322
2006,2,7370,12010,3691
2007,2,7009,12370,3591
2008,2,6433,11267,3130
2009,2,6545,10464,3865
2010,2,6451,10772,3828
2011,2,7082,10904,4197
2012,2,7461,10509,4697
2013,2,7578,10679,5100
2014,2,7058,9633,4823
1994,3,6831,11253,3345
1995,3,7051,12255,3163
1996,3,12873,15729,10279
1997,3,10190,14201,6135
1998,3,9992,14062,5776
1999,3,8786,15246,4694
2000,3,11259,15280,7273
2001,3,7971,12689,4683
2002,3,8064,13330,4756
2003,3,8473,12470,4874
2004,3,9486,14035,5289
2005,3,8976,14004,5080
2006,3,7821,12788,4083
2007,3,8055,12842,4591
2008,3,7460,12987,4189
2009,3,7632,11905,4559
2010,3,7773,11901,4764
2011,3,7777,12367,4522
2012,3,7995,11340,5124
2013,3,10290,13446,7399
2014,3,7547,10813,5292
1994,4,6794,12461,3582
1995,4,8003,12245,4054
1996,4,13524,16462,10832
1997,4,12260,16861,8540
1998,4,9169,14288,5091
1999,4,11806,16110,7164
2000,4,11385,15647,7206
2001,4,7268,11553,3917
2002,4,9242,14504,5154
2003,4,7901,12235,4644
2004,4,7897,14345,4008
2005,4,8137,12444,4258
2006,4,9619,14601,5290
2007,4,9751,15099,5824
2008,4,8266,12975,4294
2009,4,9509,14381,5833
2010,4,6471,11009,3717
2011,4,10534,15073,7307
2012,4,7965,11144,4903
2013,4,10142,13629,6877
2014,4,7354,10935,4528
1994,5,8054,12822,4821
1995,5,9056,13149,5567
1996,5,12912,16624,10069
1997,5,12946,15977,9889
1998,5,10511,14255,6472
1999,5,11999,15635,7596
2000,5,10162,14961,6290
2001,5,6880,11125,3654
2002,5,8923,14212,5179
2003,5,8137,13257,4871
2004,5,7174,11734,3825
2005,5,7878,12706,4117
2006,5,9794,14958,5443
2007,5,7603,12502,3962
2008,5,7354,12200,3650
2009,5,7057,10821,4253
2010,5,6318,10392,3894
2011,5,11705,15016,9400
2012,5,7548,10950,4934
2013,5,7595,11361,4714
2014,5,6662,10506,4343
1994,6,6741,10567,3479
1995,6,8648,13372,5431
1996,6,12613,15356,10396
1997,6,12048,15250,9390
1998,6,9246,14233,5672
1999,6,12545,16326,9161
2000,6,9776,14852,5836
2001,6,6069,9746,3044
2002,6,7791,12185,4881
2003,6,8921,15233,5676
2004,6,7111,10883,3606
2005,6,7158,11263,3323
2006,6,8583,13605,4570
2007,6,10173,15284,6803
2008,6,7549,12828,3956
2009,6,7015,12269,4140
2010,6,5770,9791,3577
2011,6,11793,14185,9274
2012,6,10603,14493,8251
2013,6,6689,10184,4199
2014,6,11517,13884,9647
1994,7,6796,10058,3855
1995,7,8089,11116,5531
1996,7,11539,13785,9328
1997,7,11986,14700,9570
1998,7,6894,9911,4362
1999,7,10325,14685,8041
2000,7,10812,15029,6934
2001,7,5712,9018,3182
2002,7,9125,14564,5993
2003,7,10462,14745,6464
2004,7,8027,11923,4708
2005,7,6768,10792,3485
2006,7,11633,15031,8187
2007,7,10494,14630,8212
2008,7,6606,11662,3582
2009,7,8303,12522,5195
2010,7,4479,7999,2938
2011,7,11988,13508,10697
2012,7,11857,12918,10917
2013,7,10588,12270,9197
2014,7,10845,12789,9746
1994,8,7433,11838,4769
1995,8,9081,12943,6532
1996,8,12256,14500,9696
1997,8,12438,14487,10080
1998,8,7364,11436,4102
1999,8,10849,13634,8506
2000,8,12090,15899,8504
2001,8,5737,8915,2820
2002,8,11641,16101,8631
2003,8,10208,14348,5947
2004,8,8642,12096,5067
2005,8,6650,10705,3336
2006,8,12954,14969,10424
2007,8,9637,12337,6613
2008,8,7135,11093,4139
2009,8,10574,14382,7958
2010,8,5657,9863,3494
2011,8,10574,12164,9260
2012,8,12299,13476,11232
2013,8,9846,11295,8692
2014,8,10653,11983,9945
1994,9,9455,13062,6762
1995,9,9988,14287,6776
1996,9,11877,14782,9000
1997,9,13196,15203,11913
1998,9,11619,16033,8235
1999,9,10432,13684,7773
2000,9,9876,14269,6211
2001,9,6511,10493,3465
2002,9,10724,15304,7136
2003,9,10112,15382,5825
2004,9,10111,15161,6200
2005,9,10121,15208,5850
2006,9,12154,15938,8907
2007,9,11169,14081,7502
2008,9,10954,15510,7796
2009,9,10310,14579,7108
2010,9,7735,11847,5042
2011,9,11639,13332,10104
2012,9,12562,13933,11544
2013,9,11348,12990,10370
2014,9,11442,13009,10576
1994,10,9632,13376,6009
1995,10,11562,15287,8138
1996,10,12921,15479,9947
1997,10,14475,16558,12303
1998,10,12101,16335,8258
1999,10,12495,15544,9759
2000,10,8352,13321,4443
2001,10,6724,10764,3490
2002,10,13673,18051,10069
2003,10,10658,15863,5982
2004,10,10362,15227,5979
2005,10,9430,14248,4914
2006,10,12657,15709,9568
2007,10,9362,13455,5292
2008,10,13910,16432,11306
2009,10,11455,15099,8282
2010,10,12107,15346,9160
2011,10,13065,14381,12144
2012,10,12734,14555,11412
2013,10,10820,12702,8779
2014,10,11253,13343,10195
1994,11,7996,12551,4792
1995,11,9333,13511,6190
1996,11,11222,15059,8075
1997,11,12246,15227,9736
1998,11,9567,13447,5487
1999,11,10781,14386,7291
2000,11,8218,13050,4241
2001,11,5028,9889,2455
2002,11,11878,16162,8429
2003,11,8800,14170,4191
2004,11,8814,13612,4754
2005,11,8443,12321,4133
2006,11,8470,13082,4345
2007,11,8242,12548,4493
2008,11,9405,16438,5588
2009,11,7128,11854,3903
2010,11,7965,12681,5268
2011,11,12166,14629,11163
2012,11,12705,14420,11557
2013,11,9601,12501,8166
2014,11,9734,12545,8512
1994,12,5262,8917,2124
1995,12,7620,11598,4268
1996,12,10212,13695,6984
1997,12,9699,12970,5699
1998,12,8471,13739,4602
1999,12,9980,13546,6474
2000,12,8320,12771,4014
2001,12,5592,10139,2839
2002,12,9710,13249,6045
2003,12,8339,12760,4137
2004,12,6640,11725,2949
2005,12,7025,10697,3149
2006,12,6483,11220,2900
2007,12,7571,11992,3577
2008,12,6245,10637,3010
2009,12,5136,9310,2879
2010,12,5985,10210,3660
2011,12,9542,11519,7838
2012,12,10459,12541,8618
2013,12,7650,9582,5226
2014,12,7590,9768,5776
1994,13,4788,9056,1822
1995,13,7279,11185,3865
1996,13,8877,12083,5494
1997,13,9705,13078,6303
1998,13,7089,11004,3865
1999,13,9861,13849,5993
2000,13,6388,11762,3187
2001,13,5584,9843,2396
2002,13,8759,12890,4858
2003,13,8184,13293,3869
2004,13,7461,12581,3485
2005,13,6574,10793,2653
2006,13,6796,10698,2962
2007,13,6497,10581,3124
2008,13,6051,10065,3103
2009,13,5127,8938,2960
2010,13,5382,9394,3554
2011,13,8949,11875,6263
2012,13,8670,11273,6258
2013,13,6528,9426,4326
1994,14,4462,8013,1863
1995,14,6118,9558,2841
1996,14,7507,10847,4375
1997,14,8516,12613,4905
1998,14,6482,11037,3687
1999,14,8196,12285,4917
2000,14,6548,11032,3624
2001,14,4767,8216,2199
2002,14,7162,11163,3625
2003,14,6599,11013,3527
2004,14,6479,10269,3215
2005,14,5500,8913,2381
2006,14,5549,10028,2463
2007,14,4979,8856,2335
2008,14,5283,9544,2689
2009,14,4728,8304,2959
2010,14,5017,8559,3249
2011,14,7019,10884,4447
2012,14,6532,10336,3902
2013,14,5579,8757,3544
